code,faults,severity,occurrence
wire [3:0] rst;,Open fault (Wire declaration may lead to open circuits),4,8
fork #5 c = 1; join,Bridging fault (Assignment may cause bridging faults),6,12
fork #5 c = 1; join,Race condition fault (Fork-join may cause race conditions),8,20
fork #5 c = 1; join,Race condition fault (Fork-join may cause race conditions),8,20
fork #5 c = 1; join,Delay fault (Delay specification may cause timing issues),6,12
reg [3:0] d;,Stuck-at fault (Register declaration may cause stuck-at faults),7,15
`define SIZE 8,Macro expansion fault (Macro definition may cause expansion issues),3,5
assign y = ~c;,Stuck-at fault (Inverter may cause stuck-at faults),7,15
assign y = ~c;,Bridging fault (Assignment may cause bridging faults),6,12
assign y = ~c;,Bridging fault (Continuous assignment may cause bridging faults),6,12
force rst = 1;,Bridging fault (Assignment may cause bridging faults),6,12
force rst = 1;,Contention fault (Force statement may cause signal contention),7,15
always @(posedge clk) q <= rst;,Bridging fault (Assignment may cause bridging faults),6,12
always @(posedge clk) q <= rst;,Bridging fault (Non-blocking assignment may cause bridging faults),6,12
always @(posedge clk) q <= rst;,Clock skew fault (Edge-triggered always block may cause clock skew),8,20
`define SIZE 8,Macro expansion fault (Macro definition may cause expansion issues),3,5
always @(posedge clk) q <= d;,Bridging fault (Assignment may cause bridging faults),6,12
always @(posedge clk) q <= d;,Bridging fault (Non-blocking assignment may cause bridging faults),6,12
always @(posedge clk) q <= d;,Clock skew fault (Edge-triggered always block may cause clock skew),8,20
"`include ""file.v""",Missing file fault (Include directive may cause missing file issues),3,5
wire [3:0] c;,Open fault (Wire declaration may lead to open circuits),4,8
fork #5 b = 1; join,Bridging fault (Assignment may cause bridging faults),6,12
fork #5 b = 1; join,Race condition fault (Fork-join may cause race conditions),8,20
fork #5 b = 1; join,Race condition fault (Fork-join may cause race conditions),8,20
fork #5 b = 1; join,Delay fault (Delay specification may cause timing issues),6,12
`define SIZE 8,Macro expansion fault (Macro definition may cause expansion issues),3,5
reg [3:0] c;,Stuck-at fault (Register declaration may cause stuck-at faults),7,15
force clk = 1;,Bridging fault (Assignment may cause bridging faults),6,12
force clk = 1;,Contention fault (Force statement may cause signal contention),7,15
assign y = c | rst;,Path delay fault (OR operations may cause path delays),5,10
